No,周目,イベント名,形式,ユニット,タイプ,書き下ろし楽曲,開始日,終了日,日数,参加人数
134,17,灯を手繰りよせて,通常,5_25,ピュア,エンパープル,2024-06-20 15:00:00,2024-06-28 21:00:00,8,
135,18,OVER RAD SQUAD!!,通常,3_VBS,ミステリアス,ULTRA C,2024-06-30 15:00:00,2024-07-07 21:00:00,7,
136,18,お縄を頂戴！？天馬捕物帳,通常,4_WxS,ピュア,成敗いたAAAAAす！,2024-07-09 15:00:00,2024-07-15 21:00:00,6,
137,18,あの日見た夜空は、いつかの未来へ,ワールドリンク,1_L/n,-,-,2024-07-17 20:00:00,2024-07-29 20:00:00,12,
138,18,Chase my IDEAL IDOL！,通常,2_MMJ,キュート,キラー,2024-07-31 15:00:00,2024-08-07 21:00:00,7,
139,18,鳴らせビューティフルサウンド！,通常,混合,ミステリアス,-,2024-08-09 15:00:00,2024-08-15 21:00:00,6,
140,18,キミと、セカイの始まりで,ワールドリンク,0_VS,-,-,2024-08-17 20:00:00,2024-08-29 20:00:00,12,
141,18,わんだほら～！？な肝だめし！,通常,混合,クール,-,2024-08-31 15:00:00,2024-09-08 21:00:00,8,
142,18,鍛えてFLY！Muscle Training！,通常,混合,ハッピー,-,2024-09-10 15:00:00,2024-09-18 21:00:00,8,
143,18,This moment with you！,通常,1_L/n,ミステリアス,それでも僕らは歌うことをやめない,2024-09-20 15:00:00,2024-09-28 21:00:00,8,
144,18,想いをのせて！Dream Stage,通常,混合,ピュア,-,2024-09-30 15:00:00,2024-10-09 21:00:00,9,
145,18,荊棘の道は何処へ,通常,5_25,キュート,化けの花,2024-10-12 18:00:00,2024-10-19 21:00:00,7,
146,19,Rekindle the flame,通常,3_VBS,クール,フューエル,2024-10-21 15:00:00,2024-10-29 21:00:00,8,
147,19,Happy Enjoy Music！,通常,1_L/n,ハッピー,その音が鳴るなら,2024-10-31 15:00:00,2024-11-08 21:00:00,8,
148,19,また、木の葉の色づく頃に,通常,混合,ミステリアス,-,2024-11-10 15:00:00,2024-11-18 21:00:00,8,
149,19,The Power Of Regret,通常,4_WxS,ピュア,ぼくのかみさま,2024-11-20 15:00:00,2024-11-28 21:00:00,8,
150,19,傷だらけの手で、私達は,通常,5_25,クール,余花にみとれて,2024-11-30 15:00:00,2024-12-09 21:00:00,9,
151,19,Grow glorious glow,通常,2_MMJ,ハッピー,はしる! とおく! とどく!,2024-12-11 15:00:00,2024-12-19 21:00:00,8,
152,20,Special present for YOU！,通常,混合,ピュア,-,2024-12-21 15:00:00,2024-12-29 21:00:00,8,
153,20,Unfading wishing,通常,混合,キュート,-,2024-12-31 15:00:00,2025-01-09 21:00:00,9,
154,20,Time to take off！,通常,3_VBS,ハッピー,ヘイヴン,2025-01-11 15:00:00,2025-01-19 21:00:00,8,
155,20,Show your shine,通常,混合,クール,-,2025-01-21 15:00:00,2025-01-29 21:00:00,8,
156,20,このひと針に想いを込めて,通常,混合,ハッピー,-,2025-01-31 15:00:00,2025-02-08 21:00:00,8,
157,20,Rise and Strive,通常,2_MMJ,ミステリアス,アンチユー,2025-02-10 15:00:00,2025-02-18 21:00:00,8,
158,20,昔日のRead-aloud,通常,混合,キュート,-,2025-02-20 15:00:00,2025-02-26 21:00:00,6,
159,20,Connect hearts message,通常,混合,ピュア,-,2025-02-28 15:00:00,2025-03-08 21:00:00,8,
160,20,You are my HERO!!,通常,混合,ミステリアス,-,2025-03-10 15:00:00,2025-03-18 21:00:00,8,
161,20,Unreliable Notes,通常,5_25,クール,D/N/A,2025-03-20 15:00:00,2025-03-28 21:00:00,8,
162,20,Find the dream view,通常,1_L/n,クール,Sympathy,2025-03-30 15:00:00,2025-04-06 21:00:00,8,
163,20,Turning Pain into Drive,ワールドリンク,3_VBS,-,-,2025-04-08 20:00:00,2025-04-20 20:00:00,12,
164,20,Choices for the future,通常,4_WxS,ミステリアス,オールセーブチャレンジ,2025-04-22 15:00:00,2025-04-28 21:00:00,7,
165,21,そして、針は動き出す,通常,5_25,ミステリアス,虚無さん,2025-04-30 15:00:00,2025-05-06 21:00:00,7,
